,UNIT,Dayofweek,Hour,ENTRIESn_hourly
0,R001,0,1.0,4826.0
1,R001,0,5.0,875.0
2,R001,0,9.0,26881.0
3,R001,0,13.0,20419.0
4,R001,0,17.0,35347.0
5,R001,0,21.0,43014.0
6,R001,1,1.0,5494.0
7,R001,1,5.0,1815.0
8,R001,1,7.0,767.0
9,R001,1,9.0,25741.0
10,R001,1,13.0,20530.0
11,R001,1,14.0,846.0
12,R001,1,17.0,20364.0
13,R001,1,21.0,28593.0
14,R001,2,1.0,4123.0
15,R001,2,5.0,2532.0
16,R001,2,7.0,647.0
17,R001,2,9.0,19627.0
18,R001,2,12.0,1.0
19,R001,2,13.0,15338.0
20,R001,2,14.0,1254.0
21,R001,2,17.0,53688.0
22,R001,2,21.0,36874.0
23,R001,3,1.0,11509.0
24,R001,3,5.0,855.0
25,R001,3,9.0,26244.0
26,R001,3,13.0,19041.0
27,R001,3,14.0,1327.0
28,R001,3,15.0,23.0
29,R001,3,17.0,29181.0
30,R001,3,21.0,41440.0
31,R001,4,1.0,7614.0
32,R001,4,5.0,3528.0
33,R001,4,7.0,1104.0
34,R001,4,9.0,24392.0
35,R001,4,13.0,19719.0
36,R001,4,17.0,34611.0
37,R001,4,21.0,34190.0
38,R001,5,1.0,9055.0
39,R001,5,5.0,941.0
40,R001,5,9.0,5198.0
41,R001,5,13.0,12643.0
42,R001,5,17.0,21813.0
43,R001,5,21.0,16148.0
44,R001,6,1.0,5678.0
45,R001,6,5.0,1094.0
46,R001,6,9.0,4017.0
47,R001,6,13.0,11533.0
48,R001,6,17.0,21375.0
49,R001,6,21.0,15813.0
50,R002,0,1.0,315.0
51,R002,0,5.0,88.0
52,R002,0,9.0,1101.0
53,R002,0,13.0,3183.0
54,R002,0,14.0,261.0
55,R002,0,17.0,9192.0
56,R002,0,21.0,14549.0
57,R002,1,1.0,2329.0
58,R002,1,5.0,1454.0
59,R002,1,9.0,1095.0
60,R002,1,13.0,3442.0
61,R002,1,14.0,304.0
62,R002,1,17.0,10271.0
63,R002,1,21.0,16395.0
64,R002,2,1.0,1875.0
65,R002,2,5.0,118.0
66,R002,2,9.0,1108.0
67,R002,2,13.0,3792.0
68,R002,2,17.0,10432.0
69,R002,2,21.0,15974.0
70,R002,3,1.0,1884.0
71,R002,3,5.0,126.0
72,R002,3,9.0,1114.0
73,R002,3,13.0,4014.0
74,R002,3,17.0,9808.0
75,R002,3,21.0,15655.0
76,R002,4,1.0,3893.0
77,R002,4,5.0,244.0
78,R002,4,9.0,1151.0
79,R002,4,13.0,3532.0
80,R002,4,17.0,10116.0
81,R002,4,21.0,12521.0
82,R002,5,1.0,6180.0
83,R002,5,5.0,569.0
84,R002,5,9.0,177.0
85,R002,5,13.0,843.0
86,R002,5,17.0,1739.0
87,R002,5,21.0,1485.0
88,R002,6,1.0,520.0
89,R002,6,5.0,95.0
90,R002,6,9.0,121.0
91,R002,6,13.0,646.0
92,R002,6,17.0,1396.0
93,R002,6,21.0,1428.0
94,R003,0,0.0,206.0
95,R003,0,4.0,83.0
96,R003,0,7.0,415.0
97,R003,0,8.0,1097.0
98,R003,0,12.0,2561.0
99,R003,0,14.0,245.0
100,R003,0,16.0,1020.0
101,R003,0,20.0,1002.0
102,R003,1,0.0,269.0
103,R003,1,4.0,89.0
104,R003,1,8.0,736.0
105,R003,1,12.0,3115.0
106,R003,1,14.0,79.0
107,R003,1,16.0,967.0
108,R003,1,20.0,809.0
109,R003,2,0.0,299.0
110,R003,2,4.0,312.0
111,R003,2,8.0,662.0
112,R003,2,9.0,178.0
113,R003,2,10.0,213.0
114,R003,2,12.0,2300.0
115,R003,2,16.0,1222.0
116,R003,2,20.0,622.0
117,R003,3,0.0,783.0
118,R003,3,4.0,77.0
119,R003,3,8.0,845.0
120,R003,3,12.0,3095.0
121,R003,3,16.0,1128.0
122,R003,3,20.0,937.0
123,R003,4,0.0,302.0
124,R003,4,4.0,70.0
125,R003,4,8.0,482.0
126,R003,4,10.0,439.0
127,R003,4,12.0,2748.0
128,R003,4,14.0,42.0
129,R003,4,16.0,1098.0
130,R003,4,20.0,975.0
131,R003,5,0.0,348.0
132,R003,5,4.0,66.0
133,R003,5,12.0,1040.0
134,R003,5,16.0,645.0
135,R003,5,20.0,411.0
136,R003,6,0.0,240.0
137,R003,6,4.0,100.0
138,R003,6,8.0,0.0
139,R003,6,12.0,719.0
140,R003,6,16.0,530.0
141,R003,6,20.0,317.0
142,R004,0,0.0,521.0
143,R004,0,4.0,192.0
144,R004,0,8.0,1957.0
145,R004,0,12.0,7814.0
146,R004,0,13.0,62.0
147,R004,0,16.0,3558.0
148,R004,0,20.0,2343.0
149,R004,1,0.0,505.0
150,R004,1,4.0,1010.0
151,R004,1,8.0,2575.0
152,R004,1,12.0,6616.0
153,R004,1,16.0,3820.0
154,R004,1,20.0,2149.0
155,R004,2,0.0,610.0
156,R004,2,4.0,150.0
157,R004,2,8.0,1323.0
158,R004,2,11.0,1133.0
159,R004,2,12.0,6796.0
160,R004,2,16.0,2876.0
161,R004,2,20.0,2431.0
162,R004,3,0.0,1296.0
163,R004,3,4.0,380.0
164,R004,3,7.0,288.0
165,R004,3,8.0,1832.0
166,R004,3,12.0,7207.0
167,R004,3,16.0,3932.0
168,R004,3,20.0,1819.0
169,R004,4,0.0,1217.0
170,R004,4,4.0,158.0
171,R004,4,8.0,1504.0
172,R004,4,10.0,233.0
173,R004,4,12.0,7226.0
174,R004,4,16.0,3880.0
175,R004,4,20.0,1856.0
176,R004,5,0.0,1070.0
177,R004,5,4.0,177.0
178,R004,5,8.0,141.0
179,R004,5,12.0,2850.0
180,R004,5,16.0,1710.0
181,R004,5,20.0,1046.0
182,R004,6,0.0,630.0
183,R004,6,4.0,182.0
184,R004,6,8.0,98.0
185,R004,6,12.0,1887.0
186,R004,6,16.0,1259.0
187,R004,6,20.0,785.0
188,R005,0,0.0,539.0
189,R005,0,4.0,177.0
190,R005,0,8.0,2066.0
191,R005,0,12.0,9076.0
192,R005,0,16.0,2748.0
193,R005,0,20.0,1958.0
194,R005,1,0.0,741.0
195,R005,1,4.0,151.0
196,R005,1,8.0,2831.0
197,R005,1,12.0,7818.0
198,R005,1,16.0,2373.0
199,R005,1,20.0,1841.0
200,R005,2,0.0,734.0
201,R005,2,4.0,169.0
202,R005,2,8.0,864.0
203,R005,2,12.0,9743.0
204,R005,2,16.0,2350.0
205,R005,2,20.0,1693.0
206,R005,3,0.0,658.0
207,R005,3,4.0,186.0
208,R005,3,8.0,1523.0
209,R005,3,12.0,9085.0
210,R005,3,16.0,2331.0
211,R005,3,20.0,1750.0
212,R005,4,0.0,812.0
213,R005,4,4.0,163.0
214,R005,4,7.0,350.0
215,R005,4,8.0,1490.0
216,R005,4,12.0,8237.0
217,R005,4,16.0,2357.0
218,R005,4,20.0,1945.0
219,R005,5,0.0,973.0
220,R005,5,4.0,134.0
221,R005,5,8.0,76.0
222,R005,5,10.0,0.0
223,R005,5,12.0,3340.0
224,R005,5,14.0,174.0
225,R005,5,16.0,1256.0
226,R005,5,20.0,1043.0
227,R005,6,0.0,812.0
228,R005,6,4.0,111.0
229,R005,6,8.0,343.0
230,R005,6,12.0,1940.0
231,R005,6,16.0,1257.0
232,R005,6,20.0,813.0
233,R006,0,0.0,890.0
234,R006,0,4.0,337.0
235,R006,0,7.0,473.0
236,R006,0,8.0,3291.0
237,R006,0,12.0,7436.0
238,R006,0,16.0,2752.0
239,R006,0,20.0,2572.0
240,R006,1,0.0,1085.0
241,R006,1,4.0,257.0
242,R006,1,7.0,3230.0
243,R006,1,8.0,2555.0
244,R006,1,12.0,6574.0
245,R006,1,13.0,36.0
246,R006,1,16.0,2144.0
247,R006,1,18.0,0.0
248,R006,1,20.0,4343.0
249,R006,2,0.0,1261.0
250,R006,2,4.0,871.0
251,R006,2,7.0,433.0
252,R006,2,8.0,2212.0
253,R006,2,10.0,299.0
254,R006,2,12.0,7641.0
255,R006,2,16.0,2447.0
256,R006,2,20.0,3143.0
257,R006,3,0.0,1637.0
258,R006,3,4.0,590.0
259,R006,3,8.0,2580.0
260,R006,3,12.0,8677.0
261,R006,3,14.0,352.0
262,R006,3,16.0,2675.0
263,R006,3,20.0,2887.0
264,R006,4,0.0,1626.0
265,R006,4,4.0,318.0
266,R006,4,8.0,1476.0
267,R006,4,12.0,9354.0
268,R006,4,16.0,3241.0
269,R006,4,20.0,3119.0
270,R006,5,0.0,1555.0
271,R006,5,4.0,409.0
272,R006,5,8.0,167.0
273,R006,5,10.0,104.0
274,R006,5,11.0,263.0
275,R006,5,12.0,2274.0
276,R006,5,16.0,1977.0
277,R006,5,20.0,1751.0
278,R006,6,0.0,982.0
279,R006,6,4.0,238.0
280,R006,6,8.0,374.0
281,R006,6,12.0,1858.0
282,R006,6,16.0,1481.0
283,R006,6,20.0,1226.0
284,R007,0,0.0,407.0
285,R007,0,4.0,188.0
286,R007,0,8.0,922.0
287,R007,0,9.0,473.0
288,R007,0,10.0,500.0
289,R007,0,12.0,4940.0
290,R007,0,14.0,214.0
291,R007,0,16.0,1691.0
292,R007,0,20.0,1933.0
293,R007,1,0.0,862.0
294,R007,1,4.0,150.0
295,R007,1,8.0,692.0
296,R007,1,12.0,6168.0
297,R007,1,16.0,1861.0
298,R007,1,20.0,1318.0
299,R007,2,0.0,470.0
300,R007,2,4.0,144.0
301,R007,2,8.0,1619.0
302,R007,2,9.0,656.0
303,R007,2,12.0,4386.0
304,R007,2,16.0,1864.0
305,R007,2,20.0,1333.0
306,R007,3,0.0,483.0
307,R007,3,4.0,143.0
308,R007,3,8.0,1152.0
309,R007,3,12.0,5683.0
310,R007,3,16.0,1868.0
311,R007,3,20.0,1396.0
312,R007,4,0.0,551.0
313,R007,4,4.0,159.0
314,R007,4,12.0,6517.0
315,R007,4,16.0,1781.0
316,R007,4,20.0,1480.0
317,R007,5,0.0,641.0
318,R007,5,4.0,143.0
319,R007,5,8.0,206.0
320,R007,5,12.0,1979.0
321,R007,5,16.0,994.0
322,R007,5,20.0,779.0
323,R007,6,0.0,467.0
324,R007,6,4.0,138.0
325,R007,6,8.0,147.0
326,R007,6,12.0,1329.0
327,R007,6,16.0,943.0
328,R007,6,20.0,621.0
