SeasonDay,Date,PlayerType,Points,Salary,Cnt,Week,Order
1,10/27/15,Mid-Level,72.9,13200,2,10/26/15,2
1,10/27/15,Scrub,143.3,26600,5,10/26/15,1
1,10/27/15,Star,109,19400,2,10/26/15,3
2,10/28/15,Mid-Level,241.8,36700,5,10/26/15,2
2,10/28/15,Scrub,112.3,13200,3,10/26/15,1
2,10/28/15,Star,46.6,9900,1,10/26/15,3
3,10/29/15,Mid-Level,150.6,28400,4,10/26/15,2
3,10/29/15,Scrub,70,12000,3,10/26/15,1
3,10/29/15,Star,84.9,19300,2,10/26/15,3
4,10/30/15,Mid-Level,159.7,21100,3,10/26/15,2
4,10/30/15,Scrub,130.2,17700,4,10/26/15,1
4,10/30/15,Star,135.6,20800,2,10/26/15,3
5,10/31/15,Mid-Level,108.7,14800,2,10/26/15,2
5,10/31/15,Scrub,163.8,24100,5,10/26/15,1
5,10/31/15,Star,135.1,20400,2,10/26/15,3
6,11/1/15,Mid-Level,250.6,45500,6,11/2/15,2
6,11/1/15,Scrub,121.2,14000,3,11/2/15,1
7,11/2/15,Mid-Level,82.8,14100,2,11/2/15,2
7,11/2/15,Scrub,122.8,15900,4,11/2/15,1
7,11/2/15,Star,164.7,29900,3,11/2/15,3
8,11/3/15,Mid-Level,218.1,36300,5,11/2/15,2
8,11/3/15,Scrub,123.9,13400,3,11/2/15,1
8,11/3/15,Star,63.8,8900,1,11/2/15,3
9,11/4/15,Mid-Level,131.2,23200,3,11/2/15,2
9,11/4/15,Scrub,141.3,17100,4,11/2/15,1
9,11/4/15,Star,98.3,19400,2,11/2/15,3
10,11/5/15,Mid-Level,156.1,27700,4,11/2/15,2
10,11/5/15,Scrub,90.4,12800,3,11/2/15,1
10,11/5/15,Star,86.4,18900,2,11/2/15,3
11,11/6/15,Mid-Level,103.3,14600,2,11/2/15,2
11,11/6/15,Scrub,199.9,24300,5,11/2/15,1
11,11/6/15,Star,139.2,20400,2,11/2/15,3
12,11/7/15,Mid-Level,185.9,26800,4,11/2/15,2
12,11/7/15,Scrub,119.2,11900,3,11/2/15,1
12,11/7/15,Star,103.5,19800,2,11/2/15,3
13,11/8/15,Mid-Level,152.2,23700,3,11/9/15,2
13,11/8/15,Scrub,106.9,16800,4,11/9/15,1
13,11/8/15,Star,125.6,19300,2,11/9/15,3
14,11/9/15,Mid-Level,204.4,36000,5,11/9/15,2
14,11/9/15,Scrub,116.2,15100,3,11/9/15,1
14,11/9/15,Star,45.1,8900,1,11/9/15,3
15,11/10/15,Mid-Level,122.8,22200,3,11/9/15,2
15,11/10/15,Scrub,193,27600,5,11/9/15,1
15,11/10/15,Star,50.4,10000,1,11/9/15,3
16,11/11/15,Mid-Level,190.5,29300,4,11/9/15,2
16,11/11/15,Scrub,157.4,19500,4,11/9/15,1
16,11/11/15,Star,49.5,10700,1,11/9/15,3
17,11/12/15,Mid-Level,249.6,37200,5,11/9/15,2
17,11/12/15,Scrub,62.8,12000,3,11/9/15,1
17,11/12/15,Star,59,10700,1,11/9/15,3
18,11/13/15,Mid-Level,143.7,19900,3,11/9/15,2
18,11/13/15,Scrub,149.1,18300,4,11/9/15,1
18,11/13/15,Star,109,21200,2,11/9/15,3
19,11/14/15,Mid-Level,136.3,21100,3,11/9/15,2
19,11/14/15,Scrub,177.4,19000,4,11/9/15,1
19,11/14/15,Star,121,19900,2,11/9/15,3
20,11/15/15,Mid-Level,86.1,14100,2,11/16/15,2
20,11/15/15,Scrub,171.8,24700,5,11/16/15,1
20,11/15/15,Star,114.2,21200,2,11/16/15,3
21,11/16/15,Mid-Level,216.1,35700,5,11/16/15,2
21,11/16/15,Scrub,96.5,12800,3,11/16/15,1
21,11/16/15,Star,63.8,11400,1,11/16/15,3
22,11/17/15,Mid-Level,272.8,43600,6,11/16/15,2
22,11/17/15,Scrub,111.1,16300,3,11/16/15,1
23,11/18/15,Mid-Level,103.1,14800,2,11/16/15,2
23,11/18/15,Scrub,202.5,25600,5,11/16/15,1
23,11/18/15,Star,135.2,19100,2,11/16/15,3
24,11/19/15,Mid-Level,224.5,36900,5,11/16/15,2
24,11/19/15,Scrub,71.1,13500,3,11/16/15,1
24,11/19/15,Star,54.8,8900,1,11/16/15,3
25,11/20/15,Mid-Level,167.5,22400,3,11/16/15,2
25,11/20/15,Scrub,170.3,25900,5,11/16/15,1
25,11/20/15,Star,59.9,11700,1,11/16/15,3
26,11/21/15,Mid-Level,135.3,19700,3,11/16/15,2
26,11/21/15,Scrub,145.9,19500,4,11/16/15,1
26,11/21/15,Star,99.6,20400,2,11/16/15,3
27,11/22/15,Mid-Level,86.9,15800,2,11/23/15,2
27,11/22/15,Scrub,180.5,24300,5,11/23/15,1
27,11/22/15,Star,126,19800,2,11/23/15,3
28,11/23/15,Mid-Level,310.1,45600,6,11/23/15,2
28,11/23/15,Scrub,102.4,14000,3,11/23/15,1
29,11/24/15,Mid-Level,116.5,20500,3,11/23/15,2
29,11/24/15,Scrub,101.1,11800,3,11/23/15,1
29,11/24/15,Star,140.9,27500,3,11/23/15,3
30,11/25/15,Mid-Level,104.8,15500,2,11/23/15,2
30,11/25/15,Scrub,139.4,16300,4,11/23/15,1
30,11/25/15,Star,167,28200,3,11/23/15,3
31,11/27/15,Mid-Level,80.8,14000,2,11/23/15,2
31,11/27/15,Scrub,206.8,24700,5,11/23/15,1
31,11/27/15,Star,122,21300,2,11/23/15,3
32,11/28/15,Mid-Level,116.8,19600,3,11/23/15,2
32,11/28/15,Scrub,141.2,18200,4,11/23/15,1
32,11/28/15,Star,103,21200,2,11/23/15,3
33,11/29/15,Mid-Level,124.7,21900,3,11/30/15,2
33,11/29/15,Scrub,163.7,17900,4,11/30/15,1
33,11/29/15,Star,98.5,19800,2,11/30/15,3
34,11/30/15,Mid-Level,234.6,36000,5,11/30/15,2
34,11/30/15,Scrub,109.9,14600,3,11/30/15,1
34,11/30/15,Star,53.7,8600,1,11/30/15,3
35,12/1/15,Mid-Level,254.4,35600,5,11/30/15,2
35,12/1/15,Scrub,89.4,12600,3,11/30/15,1
35,12/1/15,Star,57.8,10800,1,11/30/15,3
36,12/2/15,Mid-Level,214.7,29800,4,11/30/15,2
36,12/2/15,Scrub,154.9,19900,4,11/30/15,1
36,12/2/15,Star,57,10000,1,11/30/15,3
37,12/3/15,Mid-Level,211.8,38300,5,11/30/15,2
37,12/3/15,Scrub,104.2,12600,3,11/30/15,1
37,12/3/15,Star,46.1,9100,1,11/30/15,3
38,12/4/15,Mid-Level,54.3,7100,1,11/30/15,2
38,12/4/15,Scrub,137.7,22300,5,11/30/15,1
